sector,wa_bin,wa_bin_id,bias,n_sb
Real Estate Development & Diversified Activities,7.0,14,2.4000000000000004,5
Real Estate Management & Services,2.0,4,-2.3600000000000003,5
Real Estate Management & Services,2.5,5,,4
Real Estate Management & Services,3.0,6,-2.5714285714285716,7
Real Estate Management & Services,3.5,7,-2.785714285714286,14
Real Estate Management & Services,4.0,8,-2.1904761904761907,42
Real Estate Management & Services,4.5,9,-1.5970149253731343,67
Real Estate Management & Services,5.0,10,-1.043939393939394,132
Real Estate Management & Services,5.5,11,-0.36953642384105967,151
Real Estate Management & Services,6.0,12,0.28040540540540543,148
Real Estate Management & Services,6.5,13,0.768217054263566,129
Real Estate Management & Services,7.0,14,1.511111111111111,36
Real Estate Management & Services,7.5,15,1.8923076923076925,26
Real Estate Management & Services,8.0,16,,4
Restaurants,1.5,3,,1
Restaurants,2.0,4,,1
Restaurants,2.5,5,,3
Restaurants,3.0,6,,2
Restaurants,3.5,7,-1.6875,16
Restaurants,4.0,8,-0.5333333333333334,36
Restaurants,4.5,9,0.8130434782608694,23
Restaurants,5.0,10,1.5071428571428573,14
Restaurants,5.5,11,,4
Retail - Consumer Discretionary,2.0,4,,1
Retail - Consumer Discretionary,2.5,5,,1
Retail - Consumer Discretionary,3.0,6,,3
Retail - Consumer Discretionary,3.5,7,-1.19,10
Retail - Consumer Discretionary,4.0,8,-0.26896551724137935,29
Retail - Consumer Discretionary,4.5,9,0.49943396226415104,53
Retail - Consumer Discretionary,5.0,10,0.9017857142857143,56
Retail - Consumer Discretionary,5.5,11,1.7361111111111114,72
Retail - Consumer Discretionary,6.0,12,2.2319354838709677,62
Retail - Consumer Discretionary,6.5,13,2.768636363636364,22
Retail - Consumer Discretionary,7.0,14,2.853333333333333,15
Retail - Consumer Discretionary,7.5,15,2.3333333333333335,6
Retail - Consumer Discretionary,8.0,16,,2
